epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.24,1.26756,1.96747,1.23209,0.75652,0.83182,0.84685,0.48312,1.21519,2.2169,1.12409,0.000662626,0.000662626,0.000662626
2,894.585,1.34402,1.45761,1.29438,0.90257,0.85039,0.91208,0.63203,1.04141,1.5092,1.10626,0.00126349,0.00126349,0.00126349
3,1312.25,1.37519,1.23058,1.28454,0.93673,0.81608,0.91597,0.63126,1.05715,1.27448,1.09624,0.00179836,0.00179836,0.00179836
4,1739.86,1.34095,1.04352,1.29564,0.95306,0.88189,0.94873,0.69633,0.98832,0.90569,1.09474,0.001703,0.001703,0.001703
5,2163.99,1.35364,0.95182,1.30285,0.97589,0.89764,0.94581,0.70186,0.9883,0.76213,1.09901,0.001604,0.001604,0.001604
6,2591.68,1.31354,0.88132,1.28382,0.96718,0.92814,0.96311,0.70417,0.92584,0.92595,1.05309,0.001505,0.001505,0.001505
7,3028.66,1.22751,0.80187,1.22562,0.95975,0.93875,0.95306,0.71922,0.94838,0.65978,1.07195,0.001406,0.001406,0.001406
8,3455.08,1.24004,0.77018,1.23988,0.94556,0.95727,0.95986,0.72004,0.92154,0.68181,1.05169,0.001307,0.001307,0.001307
9,3884.07,1.23988,0.7614,1.23957,0.97642,0.92913,0.96326,0.74442,0.88729,0.61482,1.04564,0.001208,0.001208,0.001208
10,4316.07,1.20587,0.69289,1.2071,0.97225,0.95276,0.9668,0.76745,0.83169,0.57713,1.0172,0.001109,0.001109,0.001109
11,4748.03,1.15082,0.6244,1.1941,0.98141,0.96063,0.97134,0.75849,0.83566,0.58164,1.03296,0.00101,0.00101,0.00101
12,5175.84,1.1389,0.60154,1.18712,0.99941,0.9685,0.97465,0.7619,0.85691,0.52626,0.99707,0.000911,0.000911,0.000911
13,5604.5,1.10627,0.57713,1.16687,0.99747,0.95276,0.98449,0.78861,0.79644,0.49394,0.98261,0.000812,0.000812,0.000812
14,6041.46,1.07365,0.55413,1.13757,0.99069,0.96063,0.97675,0.7817,0.78646,0.48028,0.9868,0.000713,0.000713,0.000713
15,6487,1.07012,0.54065,1.15308,0.9831,0.9685,0.98532,0.80771,0.72754,0.44927,0.96002,0.000614,0.000614,0.000614
16,6937.58,1.03695,0.50793,1.13453,0.99749,0.9685,0.97798,0.79041,0.7513,0.44171,0.96992,0.000515,0.000515,0.000515
17,7397.36,1.02597,0.50061,1.12448,0.98943,0.9685,0.97765,0.81073,0.70589,0.43016,0.9404,0.000416,0.000416,0.000416
18,8085.34,0.99138,0.48072,1.10761,0.99838,0.96063,0.97754,0.80179,0.72765,0.44671,0.94711,0.000317,0.000317,0.000317
19,8522.13,0.98408,0.46352,1.09973,0.99823,0.96063,0.98121,0.82336,0.69776,0.41646,0.94852,0.000218,0.000218,0.000218
20,8961.45,0.95488,0.4529,1.09749,1,0.96787,0.98019,0.823,0.66049,0.39848,0.93174,0.000119,0.000119,0.000119
